,TIME,MOTION,FORVEL,ANGVEL,ABSANGVEL,HEADING,ABSHEADING,G2,G3,G4,G5,G2_FROM_MOTION,G2_FROM_FORVEL,G2_FROM_ANGVEL,G2_FROM_ABSANGVEL,G2_FROM_HEADING,G2_FROM_ABSHEADING,G3_FROM_MOTION,G3_FROM_FORVEL,G3_FROM_ANGVEL,G3_FROM_ABSANGVEL,G3_FROM_HEADING,G3_FROM_ABSHEADING,G4_FROM_MOTION,G4_FROM_FORVEL,G4_FROM_ANGVEL,G4_FROM_ABSANGVEL,G4_FROM_HEADING,G4_FROM_ABSHEADING,G5_FROM_MOTION,G5_FROM_FORVEL,G5_FROM_ANGVEL,G5_FROM_ABSANGVEL,G5_FROM_HEADING,G5_FROM_ABSHEADING
0.0,0.0,-0.07830726314603235,-1.3742898488186475,1.3414778051391338,1.1302019002337849,-0.6701887776485856,0.15499043518757621,-1.394408975146001,-0.19350363947596363,-1.4656836119824082,-1.7787149862605862,,,,,,,,,,,,,,,,,,,,,,,,
0.1,0.1,0.30427584593674073,-0.6904442912600549,0.5756422673627123,0.03991439840424836,-0.8296595302057045,0.4449780869458356,-0.7051926391239908,0.3187748602740567,-1.3723344692439785,-1.852045284111155,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.2,1.9407650921359638,0.4141238124272613,-1.6255633548968054,0.9976146315802774,-0.7408956847038117,0.2835665509407793,-0.32361047523246206,0.7804488983451184,-1.152307509930061,-1.8473937353669017,,,,,,,,,,,,,,,,,,,,,,,,
0.3,0.3,1.2541480168512533,1.3470444554034553,-1.441586947100131,0.7356952400688745,-0.5393273959821127,-0.08297285379677635,-0.18852161721109348,0.7736649668881571,-1.0676632589153083,-1.433816327899983,,,,,,,,,,,,,,,,,,,,,,,,
0.4,0.4,0.6782968140711422,1.24732447748163,-0.6694725864438953,-0.36353115500129013,-0.4493959058585412,-0.24650767897241274,-0.1818548943477004,0.7408454065963707,-0.8973647970725582,-0.6959986109072305,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.5,0.23361500042061364,0.9616561069337055,-0.4758153536465522,-0.6392327255641816,-0.40709475906597925,-0.323429685223451,-0.012028901406551598,0.9113604405145954,-0.5560464735204547,-0.37832519372622114,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.6,0.34782496235282057,1.0368448326815731,-0.17061383579384598,-1.022498694618266,-0.40350040818429106,-0.32996578889802697,0.394641193260374,1.2680668905015904,-0.34684051220558165,-0.48900469178799394,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.7,0.226588068860101,0.8069566015745824,-0.3372060344771229,-0.836564921411757,-0.3935691959215998,-0.3480250811318123,0.429466048217831,1.4461909286215404,-0.40310970180061656,-0.4928353789891438,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.8,0.084400890656171,0.8699234847044227,-0.03300762931873544,-0.8265945876743708,-0.39381851505790166,-0.34757170977866286,0.3967464741646033,1.4654426259994064,-0.4011859688230088,-0.4985814097908672,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.9,0.6481970935450748,1.2573759109960472,0.3949299133250293,-0.21735809851531965,-0.43242142799531436,-0.2773747119326831,0.3321845264349108,1.4141047663251018,-0.2968234547877732,-0.19281048498485884,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.68908105898806,1.2208930227552894,0.5210999833603613,-0.03773513290590745,-0.5068224135867493,-0.14208114396364446,0.380342827119151,1.177858937073883,-0.04144790201030842,0.2005190044188442,,,,,,,,,,,,,,,,,,,,,,,,
1.1,1.1,0.15231415784951544,0.72000263224201,0.4709492365785069,-0.10913261934592262,-0.5884017126442063,0.006265740881483281,0.18218326200858562,1.0023934666870657,0.1263978002859924,0.096680019216267,,,,,,,,,,,,,,,,,,,,,,,,
